ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,40,0,0,0,0,0,0,0,16
10002,28,28,28,28,28,28,28,28,28,28
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,12,0,0,0,0,0,4,10,13,13
10006,0,0,0,0,0,0,0,20,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,6,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0,0,0
10011,0,0,36,0,0,0,33,0,0,0
10012,0,0,0,0,0,0,0,0,0,0
10013,15,15,15,15,15,15,15,15,15,15
10014,0,0,0,11,0,0,0,0,0,0
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,7,0,0,0,0,0,0,23
10018,0,0,0,0,0,0,0,0,0,0
10019,36,36,36,36,36,36,36,36,36,36
10020,17,17,17,17,17,17,17,17,17,17
10021,18,18,18,18,18,18,18,18,18,18
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,24,28,23,22,0,12,44,17,27,20
10025,0,0,0,0,15,47,0,29,0,11
10026,24,8,43,22,5,21,20,24,42,29
10027,0,0,0,0,0,0,0,0,0,0
10028,24,0,0,0,0,32,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,28,28,28,28,28,28,28,28,28,28
10031,0,0,0,19,22,0,0,0,0,0
10032,18,18,18,18,18,18,18,18,18,18
10033,0,0,0,0,0,0,0,0,0,0
10034,0,0,0,0,0,0,0,0,0,0
10035,23,23,23,23,23,23,23,23,23,23
10036,27,27,27,27,27,27,27,27,27,27
10037,0,0,0,0,0,5,0,0,0,0
10038,0,0,0,11,15,0,35,0,0,16
10039,19,19,19,19,19,19,19,19,19,19
10040,0,0,0,0,0,0,0,0,0,0
10041,0,0,0,0,0,0,0,0,0,0
10042,0,11,0,0,0,0,21,0,0,31
10043,6,6,6,6,6,6,6,6,6,6
10044,0,0,0,0,0,0,0,0,0,0
10045,16,0,0,0,0,4,0,0,8,0
10046,10,10,10,10,10,10,10,10,10,10
10047,19,19,19,19,19,19,19,19,19,19
10048,0,0,0,0,0,0,44,0,0,0
10049,14,14,14,14,14,14,14,14,14,14
10050,0,0,0,0,0,16,0,0,0,0
10051,18,18,18,18,18,18,18,18,18,18
10052,19,14,26,20,27,14,19,6,12,31
10053,0,0,7,0,0,0,0,0,0,0
10054,0,0,0,0,0,0,0,0,0,0
10055,4,16,13,0,0,0,0,0,0,0
10056,0,0,0,0,0,9,11,32,18,28
10057,0,0,0,0,0,0,0,0,0,0
10058,11,11,11,11,11,11,11,11,11,11
10059,0,0,17,0,0,0,0,36,0,0
10060,0,0,0,0,0,0,0,0,0,0
10061,0,0,0,0,0,0,0,0,0,0
10062,26,26,26,26,26,26,26,26,26,26
10063,0,0,0,0,0,0,0,0,0,0
10064,23,23,23,23,23,23,23,23,23,23
10065,0,0,0,0,0,0,0,0,0,0
10066,26,26,26,26,26,26,26,26,26,26
10067,8,28,6,13,0,0,30,25,14,15
10068,0,0,0,0,0,0,0,14,0,8
10069,0,0,0,0,0,0,0,0,0,0
10070,30,30,30,30,30,30,30,30,30,30
10071,0,0,0,0,26,0,0,0,0,0
10072,0,0,0,0,0,0,0,0,0,0
