ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,0,40,0,0,0,0,0,0,0,16
10001,2,1,0,0,0,0,0,0,0,0,0,0
10002,1,1,28,28,28,28,28,28,28,28,28,28
10002,2,1,0,0,0,0,0,0,0,0,0,0
10003,1,1,0,0,0,0,0,0,0,0,0,0
10004,1,1,0,0,0,0,0,0,0,0,0,0
10005,0,1,0,0,0,0,0,0,0,0,5,0
10005,1,1,12,0,0,0,0,0,4,10,13,13
10006,0,1,0,0,0,0,0,0,0,20,0,0
10006,1,1,0,0,0,0,0,0,0,0,0,0
10007,2,1,0,0,0,0,0,0,0,0,0,0
10008,1,1,0,0,0,0,0,0,0,0,0,0
10009,1,1,0,0,0,6,0,0,0,0,0,0
10009,2,1,0,0,0,0,0,0,0,0,0,0
10010,1,1,0,0,0,0,0,0,0,0,0,0
10011,1,1,0,0,36,0,0,0,33,0,0,0
10012,1,1,0,0,0,0,0,0,0,0,0,0
10012,2,1,0,0,0,0,0,0,0,0,0,0
10013,1,1,15,15,15,15,15,15,15,15,15,15
10013,2,1,0,0,0,0,0,0,0,0,0,0
10014,1,1,0,0,0,0,0,0,0,0,0,0
10014,2,1,0,0,0,11,0,0,0,0,0,0
10015,1,1,0,0,0,0,0,0,0,0,0,0
10016,1,1,0,0,0,0,0,0,0,0,0,0
10017,1,1,0,0,7,0,0,0,0,0,0,23
10018,1,1,0,0,0,0,0,0,0,0,0,0
10019,0,1,36,36,36,36,36,36,36,36,36,36
10019,1,1,0,0,0,0,0,0,0,0,17,0
10020,1,1,17,17,17,17,17,17,17,17,17,17
10021,1,1,18,18,18,18,18,18,18,18,18,18
10022,1,1,0,0,0,0,0,0,0,0,0,0
10023,1,1,0,0,0,0,0,0,0,0,0,0
10023,2,1,0,0,0,0,0,0,0,0,0,0
10024,1,1,24,28,0,21,0,0,0,17,27,0
10024,2,1,0,0,23,22,0,0,44,0,19,0
10024,3,1,0,9,0,16,0,12,0,12,0,20
10025,0,1,0,0,0,0,15,47,0,29,0,11
10025,1,1,0,0,0,0,0,0,0,0,0,0
10026,0,1,24,8,43,22,5,21,20,24,25,29
10026,1,1,0,0,0,0,0,0,0,0,0,0
10026,2,1,0,0,0,0,0,0,0,0,42,2
10027,1,1,0,0,0,0,0,0,0,0,0,0
10028,0,1,0,0,0,0,0,0,0,0,0,0
10028,1,1,24,0,0,0,0,32,0,0,0,0
10029,1,1,0,0,0,0,0,0,0,0,0,0
10029,2,1,0,0,0,0,0,0,0,0,0,0
10030,1,1,28,28,28,28,28,28,28,28,28,28
10031,1,1,0,0,0,19,22,0,0,0,0,0
10032,1,1,18,18,18,18,18,18,18,18,18,18
10033,1,1,0,0,0,0,0,0,0,0,0,0
10034,1,1,0,0,0,0,0,0,0,0,0,0
