STATE,STATENAME,ST_CASE,VEH_NO,DAMAGE,DAMAGENAME
1,Alabama,10001,1,1,1 Clock Value
1,Alabama,10001,1,2,2 Clock Value
1,Alabama,10001,1,3,3 Clock Value
1,Alabama,10001,1,4,4 Clock Value
1,Alabama,10001,1,5,5 Clock Value
1,Alabama,10001,1,7,7 Clock Value
1,Alabama,10001,1,13,Top
1,Alabama,10001,2,7,7 Clock Value
1,Alabama,10001,2,8,8 Clock Value
1,Alabama,10001,2,9,9 Clock Value
1,Alabama,10001,2,10,10 Clock Value
1,Alabama,10001,2,11,11 Clock Value
1,Alabama,10002,1,1,1 Clock Value
1,Alabama,10002,1,2,2 Clock Value
1,Alabama,10002,1,10,10 Clock Value
1,Alabama,10002,1,11,11 Clock Value
1,Alabama,10002,1,12,12 Clock Value
1,Alabama,10002,2,1,1 Clock Value
1,Alabama,10002,2,2,2 Clock Value
1,Alabama,10002,2,10,10 Clock Value
1,Alabama,10002,2,11,11 Clock Value
1,Alabama,10002,2,12,12 Clock Value
1,Alabama,10002,2,13,Top
1,Alabama,10003,1,1,1 Clock Value
1,Alabama,10003,1,11,11 Clock Value
1,Alabama,10003,1,12,12 Clock Value
1,Alabama,10003,1,13,Top
1,Alabama,10004,1,12,12 Clock Value
1,Alabama,10004,1,14,Undercarriage
1,Alabama,10005,1,1,1 Clock Value
1,Alabama,10005,1,11,11 Clock Value
1,Alabama,10005,1,12,12 Clock Value
1,Alabama,10006,1,1,1 Clock Value
1,Alabama,10006,1,12,12 Clock Value
1,Alabama,10007,1,6,6 Clock Value
1,Alabama,10007,2,1,1 Clock Value
1,Alabama,10007,2,2,2 Clock Value
1,Alabama,10007,2,10,10 Clock Value
1,Alabama,10007,2,11,11 Clock Value
1,Alabama,10007,2,12,12 Clock Value
1,Alabama,10008,1,1,1 Clock Value
1,Alabama,10008,1,2,2 Clock Value
1,Alabama,10008,1,3,3 Clock Value
1,Alabama,10008,1,12,12 Clock Value
1,Alabama,10009,1,2,2 Clock Value
1,Alabama,10009,2,12,12 Clock Value
1,Alabama,10010,1,11,11 Clock Value
1,Alabama,10011,1,1,1 Clock Value
1,Alabama,10011,1,2,2 Clock Value
1,Alabama,10011,1,3,3 Clock Value
1,Alabama,10011,1,4,4 Clock Value
1,Alabama,10011,1,5,5 Clock Value
1,Alabama,10011,1,6,6 Clock Value
1,Alabama,10011,1,7,7 Clock Value
1,Alabama,10011,1,8,8 Clock Value
1,Alabama,10011,1,9,9 Clock Value
1,Alabama,10011,1,10,10 Clock Value
1,Alabama,10011,1,11,11 Clock Value
1,Alabama,10011,1,12,12 Clock Value
1,Alabama,10011,1,13,Top
1,Alabama,10011,1,14,Undercarriage
1,Alabama,10012,1,1,1 Clock Value
1,Alabama,10012,1,8,8 Clock Value
1,Alabama,10012,1,9,9 Clock Value
1,Alabama,10012,1,10,10 Clock Value
1,Alabama,10012,1,11,11 Clock Value
1,Alabama,10012,1,12,12 Clock Value
