STATE,STATENAME,ST_CASE,VEH_NO,PVEHICLESF,PVEHICLESFNAME
1,Alabama,10060,2,0,None Noted
1,Alabama,10060,3,0,None Noted
1,Alabama,10067,2,0,None Noted
1,Alabama,10067,3,0,None Noted
1,Alabama,10088,2,0,None Noted
1,Alabama,10116,2,0,None Noted
1,Alabama,10116,3,0,None Noted
1,Alabama,10156,2,0,None Noted
1,Alabama,10313,3,0,None Noted
1,Alabama,10383,2,0,None Noted
1,Alabama,10428,2,0,None Noted
1,Alabama,10445,2,0,None Noted
1,Alabama,10465,2,0,None Noted
1,Alabama,10475,2,0,None Noted
1,Alabama,10506,2,0,None Noted
1,Alabama,10544,2,0,None Noted
1,Alabama,10550,2,0,None Noted
1,Alabama,10554,2,0,None Noted
1,Alabama,10643,2,0,None Noted
1,Alabama,10643,3,0,None Noted
1,Alabama,10643,4,0,None Noted
1,Alabama,10724,2,0,None Noted
1,Alabama,10745,2,0,None Noted
1,Alabama,10816,3,0,None Noted
1,Alabama,10819,4,0,None Noted
1,Alabama,10900,2,0,None Noted
2,Alaska,20044,2,0,None Noted
4,Arizona,40080,4,0,None Noted
4,Arizona,40176,2,0,None Noted
4,Arizona,40193,2,0,None Noted
4,Arizona,40246,2,0,None Noted
4,Arizona,40461,2,0,None Noted
4,Arizona,40464,2,0,None Noted
4,Arizona,40600,2,0,None Noted
4,Arizona,40641,2,0,None Noted
4,Arizona,40792,2,0,None Noted
4,Arizona,40838,3,0,None Noted
4,Arizona,40938,2,0,None Noted
4,Arizona,41037,2,0,None Noted
4,Arizona,41037,3,0,None Noted
4,Arizona,41069,2,0,None Noted
4,Arizona,41122,2,0,None Noted
4,Arizona,41142,2,0,None Noted
5,Arkansas,50070,3,0,None Noted
5,Arkansas,50070,4,0,None Noted
5,Arkansas,50267,2,0,None Noted
5,Arkansas,50300,3,0,None Noted
5,Arkansas,50367,2,0,None Noted
5,Arkansas,50460,2,0,None Noted
5,Arkansas,50466,1,0,None Noted
5,Arkansas,50525,1,0,None Noted
5,Arkansas,50592,2,0,None Noted
6,California,60150,2,0,None Noted
6,California,60166,2,0,None Noted
6,California,60180,2,0,None Noted
6,California,60184,2,0,None Noted
6,California,60258,2,0,None Noted
6,California,60295,3,0,None Noted
6,California,60338,2,0,None Noted
6,California,60352,2,0,None Noted
6,California,60380,3,0,None Noted
6,California,60412,2,0,None Noted
6,California,60473,2,0,None Noted
6,California,60483,2,0,None Noted
6,California,60488,2,0,None Noted
6,California,60503,3,0,None Noted
6,California,60506,2,0,None Noted
6,California,60506,3,0,None Noted
6,California,60513,2,0,None Noted
6,California,60519,2,0,None Noted
6,California,60555,2,0,None Noted
6,California,60556,2,0,None Noted
6,California,60561,2,0,None Noted
6,California,60595,3,0,None Noted
6,California,60600,2,0,None Noted
6,California,60622,2,0,None Noted
6,California,60659,2,0,None Noted
6,California,60672,2,0,None Noted
6,California,60678,3,0,None Noted
6,California,60707,3,0,None Noted
6,California,60707,4,0,None Noted
6,California,60707,5,0,None Noted
6,California,60726,2,0,None Noted
6,California,60741,2,0,None Noted
6,California,60755,3,0,None Noted
6,California,60759,2,0,None Noted
6,California,60774,3,0,None Noted
6,California,60774,4,0,None Noted
6,California,60778,2,0,None Noted
6,California,60790,2,0,None Noted
6,California,60790,3,0,None Noted
6,California,60793,2,0,None Noted
6,California,60793,3,0,None Noted
6,California,60825,2,0,None Noted
6,California,60838,2,0,None Noted
6,California,60864,2,0,None Noted
6,California,60924,2,0,None Noted
6,California,60938,2,0,None Noted
6,California,60948,2,0,None Noted
6,California,60993,2,0,None Noted
6,California,60993,3,0,None Noted
6,California,60993,4,0,None Noted
6,California,60993,5,0,None Noted
6,California,61022,3,0,None Noted
6,California,61022,4,0,None Noted
6,California,61022,5,0,None Noted
6,California,61075,2,0,None Noted
6,California,61079,2,0,None Noted
6,California,61086,2,0,None Noted
